Nr.;Bals.ID;Tema
1089;15277;1
1090;15278;1
1091;15279;1
1092;15281;6
1093;15281;6
1094;15283;1
1095;15288;1
1096;15289;5
1097;15290;2
1098;15294;3
1099;15297;1
1100;15298;2
1101;15301;3
1102;15302;4
1103;15305;3
1104;15306;3
1105;15309;1
1106;15315;5
1107;15318;1
1108;15319;1
1109;15319;1
1110;15319;1
1111;15319;1
1112;15319;1
1113;15319;1
1114;15319;1
1115;15320;5
1116;15320;5
1117;15331;6
1118;15336;1
1119;15337;1
1120;15338;4
1121;15338;4
1122;15338;4
1123;15338;4
1124;15339;5
1125;15340;4
1126;15341;1
1127;15342;3
1128;15346;1
1129;15347;5
1130;15350;1
1131;15351;5
1132;15352;5
1133;15353;1
1134;15354;3
1135;15355;3
1136;15356;3
1137;15357;5
1138;15358;1
1139;15360;1
1140;15360;1
1141;15361;5
1142;15362;1
1143;15363;5
1144;15364;5
1145;15366;5
1146;15367;1
1147;15369;1
1148;15371;2
1149;15372;2
1150;15374;3
1151;15376;4
1152;15376;4
1153;15380;2
1154;15381;2
1155;15382;2
1156;15383;2
1157;15385;5
1158;15388;5
1159;15391;6
1160;15392;5
1161;15393;2
1162;15393;2
1163;15393;2
1164;15393;2
1165;15393;2
1166;15394;5
1167;15394;5
1168;15394;5
1169;15394;5
1170;15396;4
1171;15398;4
1172;15399;5
1173;15402;3
1174;15403;3
1175;15404;6
1176;15404;6
1177;15408;5
1178;15410;1
1179;15411;1
1180;15412;1
1181;15413;2
1182;15413;2
1183;15414;1
1184;15415;5
1185;15416;3
1186;15417;4
1187;15418;5
1188;15421;4
1189;15424;3
1190;15426;4
1191;15426;4
1192;15426;4
1193;15426;4
1194;15426;4
1195;15426;4
1196;15426;4
1197;15426;4
1198;15427;4
1199;15427;4
1200;15427;4
1201;15427;4
1202;15427;4
1203;15427;4
1204;15427;4
1205;15427;4
1206;15427;4
1207;15427;4
1208;15427;4
1209;15427;4
1210;15427;4
1211;15427;4
1212;15427;4
1213;15428;5
1214;15428;5
1215;15428;5
1216;15428;5
1217;15429;2
1218;15430;5
1219;15431;4
1220;15432;4
1221;15433;1
1222;15434;5
1223;15435;4
1224;15436;2
1225;15437;4
1226;15438;5
1227;15439;6
1228;15440;2
1229;15441;4
1230;15442;5
1231;15443;5
1232;15444;4
1233;15445;1
1234;15446;2
1235;15446;2
1236;15446;2
1237;15446;2
1238;15446;2
1239;15446;2
1240;15446;2
1241;15446;2
1242;15446;2
1243;15446;2
1244;15446;2
1245;15446;2
1246;15446;2
1247;15446;2
1248;15446;2
1249;15446;2
1250;15446;2
1251;15446;2
1252;15448;5
1253;15449;4
1254;15449;4
1255;15449;4
1256;15450;2
1257;15450;2
1258;15451;4
1259;15452;1
1260;15452;1
1261;15452;1
1262;15453;4
1263;15454;1
1264;15454;1
1265;15454;1
1266;15454;1
1267;15454;1
1268;15455;4
1269;15456;5
1270;15456;5
1271;15456;5
1272;15458;4
1273;15459;4
1274;15460;5
1275;15461;4
1276;15462;1
1277;15463;1
1278;15464;5
1279;15465;3
1280;15466;4
1281;15467;2
1282;15468;2
1283;15469;2
1284;15470;5
1285;15470;5
1286;15470;5
1287;15470;5
1288;15470;5
1289;15470;5
1290;15470;5
1291;15470;5
1292;15470;5
1293;15471;5
1294;15472;1
1295;15473;1
1296;15475;2
1297;15476;3
1298;15477;3
1299;15478;5
1300;15484;1
1301;15495;2
1302;15495;2
1303;15496;2
1304;15498;1
1305;15503;1
1306;15504;2
1307;15507;1
1308;15508;3
1309;15511;2
1310;15514;1
1311;15516;1
1312;15517;5
1313;15517;5
1314;15519;3
1315;15519;3
1316;15519;3
1317;15519;3
1318;15520;1
1319;15521;1
1320;15522;5
1321;15523;4
1322;15524;6
1323;15525;1
1324;15526;4
1325;15527;1
1326;15528;4
1327;15529;3
1328;15530;5
1329;15531;2
1330;15532;4
1331;15533;5
1332;15534;4
1333;15534;4
